__run_id,__done,llm,algorithm,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,total_memory,used_memory,total_swap,used_swap,dram_energy,package_energy,pp0_energy,pp1_energy,run_time
run_3_repetition_44,DONE,Claude,BB,2389.0,2316.0,400.0,2314.0,97.81,0.8,1.47,0.19,25127051264.0,1145130214.43,4294963200.0,0.0,112887286.617,3593547.787,40604344.801,429.95,20.366043090820312
run_4_repetition_44,DONE,Claude,BFA,848.0,400.0,2400.0,2400.0,0.79,24.91,0.32,74.51,25127051264.0,692096098.16,4294963200.0,0.0,112907848.158,3799709.651,40674682.594,429.994,20.392878770828247
run_5_repetition_44,DONE,Claude,SWA,400.0,1450.0,2014.0,1805.0,98.03,0.71,0.75,0.17,25127051264.0,1813024409.75,4294963200.0,0.0,78171955.917,2760814.185,28196604.088,297.655,14.210829496383667
run_6_repetition_44,DONE,Gemeni,BB,898.0,2361.0,2221.0,400.0,11.43,8.82,8.82,16.67,25127051264.0,691568640.0,4294963200.0,0.0,341912.468,12489.31,123385.378,1.302,0.3915708065032959
run_7_repetition_44,DONE,Gemeni,BFA,400.0,2400.0,2400.0,400.0,97.8,0.25,1.67,0.36,25127051264.0,701809545.85,4294963200.0,0.0,106693250.449,4039445.676,38529183.896,406.187,19.273532152175903
run_8_repetition_44,DONE,Gemeni,SWA,2400.0,2400.0,2399.0,788.0,97.68,0.61,0.37,0.93,25127051264.0,1126793342.87,4294963200.0,0.0,51531394.002,2030655.156,18629049.087,196.177,9.47234296798706
run_0_repetition_45,DONE,ChatGPT,BB,1707.0,400.0,2394.0,2383.0,0.56,72.32,0.21,27.07,25127051264.0,986435047.23,4294963200.0,0.0,113114534.165,4633487.475,40935941.907,430.549,20.39514446258545
run_1_repetition_45,DONE,ChatGPT,BFA,1819.0,400.0,2387.0,2254.0,96.19,0.84,3.02,0.19,25127051264.0,689692676.4,4294963200.0,0.0,106177999.023,4540158.044,38483835.447,404.074,19.13413977622986
run_2_repetition_45,DONE,ChatGPT,SWA,400.0,2265.0,2323.0,716.0,72.76,0.77,26.46,0.17,25127051264.0,1884966285.12,4294963200.0,0.0,87945924.166,3909295.789,31917835.08,334.677,15.911056518554688
run_3_repetition_45,DONE,Claude,BB,2302.0,400.0,2363.0,2207.0,98.96,0.23,0.42,0.4,25127051264.0,1149671703.56,4294963200.0,0.0,112832836.875,5209015.344,41005390.621,429.434,20.389557600021362
run_4_repetition_45,DONE,Claude,BFA,2400.0,699.0,2399.0,2399.0,0.27,46.89,0.6,52.46,25127051264.0,695317864.62,4294963200.0,0.0,113081573.189,5425603.248,41158564.039,430.357,20.369670391082764
run_5_repetition_45,DONE,Claude,SWA,2101.0,2158.0,1156.0,2225.0,0.44,98.58,0.39,0.49,25127051264.0,1807161048.87,4294963200.0,0.0,78406370.267,3892002.329,28573170.683,298.34,14.216507196426392
run_6_repetition_45,DONE,Gemeni,BB,2399.0,1947.0,2386.0,2387.0,11.11,5.88,8.57,18.42,25127051264.0,687824896.0,4294963200.0,0.0,342438.438,17412.351,124850.953,1.303,0.4024691581726074
run_7_repetition_45,DONE,Gemeni,BFA,2368.0,1265.0,400.0,2390.0,0.36,98.93,0.71,0.11,25127051264.0,689686975.31,4294963200.0,0.0,106629100.422,5564260.842,38903808.36,405.604,19.21540927886963
run_8_repetition_45,DONE,Gemeni,SWA,2319.0,1327.0,400.0,2377.0,87.41,0.29,11.39,0.67,25127051264.0,1124079801.36,4294963200.0,0.0,51724853.267,2779056.915,18892049.439,196.75,9.490090608596802
run_0_repetition_46,DONE,ChatGPT,BB,2400.0,400.0,2400.0,2400.0,0.57,99.02,0.32,0.3,25127051264.0,977594562.06,4294963200.0,0.0,113288547.726,6262616.91,41421703.755,430.852,20.381877660751343
run_1_repetition_46,DONE,ChatGPT,BFA,2392.0,878.0,400.0,2377.0,98.91,0.19,0.35,0.6,25127051264.0,682218017.55,4294963200.0,0.0,106341265.2,6069551.671,38940140.243,404.358,19.138355255126953
run_2_repetition_46,DONE,ChatGPT,SWA,2368.0,2217.0,400.0,1366.0,77.47,0.56,21.52,0.46,25127051264.0,1880253059.66,4294963200.0,0.0,87966880.916,5169076.202,32253793.784,334.431,15.882108449935913
run_3_repetition_46,DONE,Claude,BB,1800.0,1800.0,1596.0,1800.0,0.68,98.84,0.48,0.41,25127051264.0,1140305829.07,4294963200.0,0.0,113234740.977,6846677.599,41573332.422,430.512,20.352771043777466
run_4_repetition_46,DONE,Claude,BFA,2100.0,2100.0,2100.0,2100.0,0.57,75.76,0.1,23.51,25127051264.0,689480225.03,4294963200.0,0.0,113369581.242,7059987.011,41685707.079,430.973,20.361016750335693
run_5_repetition_46,DONE,Claude,SWA,2400.0,400.0,1209.0,2400.0,0.67,98.55,0.23,0.43,25127051264.0,1822283540.49,4294963200.0,0.0,78526756.662,5019760.119,28909215.484,298.466,14.182650327682495
run_6_repetition_46,DONE,Gemeni,BB,2068.0,400.0,400.0,1858.0,14.71,9.38,12.12,15.62,25127051264.0,674709504.0,4294963200.0,0.0,342964.234,22336.137,126317.792,1.304,0.36861252784729004
run_7_repetition_46,DONE,Gemeni,BFA,2180.0,2360.0,400.0,2110.0,0.26,27.22,0.69,72.24,25127051264.0,677149931.47,4294963200.0,0.0,106907086.034,7104437.533,39402375.305,406.552,19.212358951568604
run_8_repetition_46,DONE,Gemeni,SWA,2397.0,1460.0,2228.0,2295.0,86.68,0.36,11.57,0.58,25127051264.0,1107464895.72,4294963200.0,0.0,51918582.523,3530089.373,19155573.12,197.406,9.508425235748291
run_0_repetition_47,DONE,ChatGPT,BB,1234.0,1105.0,400.0,1422.0,0.59,21.55,0.21,77.9,25127051264.0,979598728.26,4294963200.0,0.0,113462384.11,7890212.158,41906334.399,431.336,20.3872389793396
run_1_repetition_47,DONE,ChatGPT,BFA,2400.0,2400.0,2399.0,400.0,98.26,0.72,1.1,0.22,25127051264.0,679243929.82,4294963200.0,0.0,106618879.347,7604958.578,39437040.911,405.276,19.139882802963257
run_2_repetition_47,DONE,ChatGPT,SWA,1965.0,1802.0,400.0,1499.0,95.71,0.8,3.55,0.19,25127051264.0,1866006783.0,4294963200.0,0.0,88216302.422,6440216.788,32671791.575,335.377,15.909775972366333
run_3_repetition_47,DONE,Claude,BB,2400.0,2399.0,2171.0,2400.0,93.12,0.29,6.33,0.44,25127051264.0,1132340721.02,4294963200.0,0.0,113408488.145,8471966.906,42056829.901,431.204,20.3825523853302
run_4_repetition_47,DONE,Claude,BFA,2353.0,2258.0,1507.0,2397.0,92.86,0.53,6.52,0.15,25127051264.0,682279283.61,4294963200.0,0.0,113543533.411,8686530.056,42169279.237,431.941,20.384719848632812
run_5_repetition_47,DONE,Claude,SWA,2179.0,2373.0,2395.0,400.0,82.66,0.8,16.17,0.32,25127051264.0,1797194687.91,4294963200.0,0.0,78647247.539,6146272.978,29244082.534,299.179,14.239216804504395
run_6_repetition_47,DONE,Gemeni,BB,2114.0,2157.0,2341.0,400.0,11.76,6.25,11.43,17.14,25127051264.0,673746944.0,4294963200.0,0.0,343490.37,27254.566,127779.226,1.307,0.3853025436401367
run_7_repetition_47,DONE,Gemeni,BFA,2400.0,2400.0,400.0,2400.0,0.48,87.56,0.48,11.54,25127051264.0,680883825.78,4294963200.0,0.0,107185590.585,8646866.076,39900694.787,407.729,19.227329969406128
run_8_repetition_47,DONE,Gemeni,SWA,2399.0,2400.0,400.0,828.0,97.75,0.46,0.4,0.93,25127051264.0,1117337717.81,4294963200.0,0.0,51769157.915,4255700.044,19291466.326,196.895,9.471226453781128
run_0_repetition_48,DONE,ChatGPT,BB,400.0,1911.0,400.0,2400.0,0.56,67.57,0.29,32.37,25127051264.0,977010485.68,4294963200.0,0.0,113636372.503,9517227.771,42390169.592,432.305,20.368720769882202
run_1_repetition_48,DONE,ChatGPT,BFA,2400.0,2400.0,2400.0,400.0,94.84,0.76,4.37,0.17,25127051264.0,688407245.9,4294963200.0,0.0,106553187.108,9113849.831,39805931.63,405.342,19.10736918449402
run_2_repetition_48,DONE,ChatGPT,SWA,2398.0,400.0,400.0,2348.0,86.49,0.64,12.49,0.23,25127051264.0,1880684464.21,4294963200.0,0.0,88236910.726,7695108.303,33005353.047,335.606,15.888097047805786
run_3_repetition_48,DONE,Claude,BB,2400.0,2400.0,800.0,2400.0,0.35,23.56,0.69,75.69,25127051264.0,1145856669.58,4294963200.0,0.0,113582261.746,10098344.819,42541249.448,431.929,20.370640993118286
run_4_repetition_48,DONE,Claude,BFA,2400.0,2400.0,2400.0,1331.0,0.62,63.63,0.27,35.62,25127051264.0,690647234.26,4294963200.0,0.0,113602815.935,10304862.679,42611869.379,431.929,20.376511335372925
run_5_repetition_48,DONE,Claude,SWA,1736.0,2398.0,2272.0,2109.0,0.41,60.98,0.5,37.74,25127051264.0,1821284283.24,4294963200.0,0.0,78538370.95,7253202.135,29494463.253,298.684,14.147982120513916
run_6_repetition_48,DONE,Gemeni,BB,2400.0,2400.0,2400.0,400.0,12.12,8.82,9.09,8.82,25127051264.0,687828992.0,4294963200.0,0.0,344016.253,32180.778,129248.732,1.308,0.39040350914001465
run_7_repetition_48,DONE,Gemeni,BFA,2144.0,2324.0,400.0,2146.0,0.42,88.49,0.5,10.67,25127051264.0,689788338.79,4294963200.0,0.0,107234946.654,10172608.414,40315786.651,407.75,19.210280418395996
run_8_repetition_48,DONE,Gemeni,SWA,2400.0,2400.0,818.0,2399.0,0.81,98.1,0.45,0.44,25127051264.0,1105774623.65,4294963200.0,0.0,51963094.413,5008945.954,19556032.916,197.579,9.461185455322266
run_0_repetition_49,DONE,ChatGPT,BB,2399.0,2400.0,2400.0,400.0,0.63,95.52,0.29,3.8,25127051264.0,984631490.06,4294963200.0,0.0,113810261.075,11145645.587,42875725.943,432.668,20.350616693496704
run_1_repetition_49,DONE,ChatGPT,BFA,2400.0,2400.0,2351.0,2387.0,98.27,0.18,0.94,0.7,25127051264.0,689628795.59,4294963200.0,0.0,106486659.56,10618055.033,40174987.931,404.867,19.124724626541138
run_2_repetition_49,DONE,ChatGPT,SWA,1800.0,1800.0,913.0,1800.0,1.04,98.74,0.29,0.25,25127051264.0,1884251016.31,4294963200.0,0.0,88371855.688,8959545.338,33382634.533,335.935,15.873044967651367
run_3_repetition_49,DONE,Claude,BB,2100.0,1133.0,2100.0,2100.0,0.54,71.9,0.23,27.68,25127051264.0,1140806746.84,4294963200.0,0.0,113870783.212,11737014.886,43069654.125,433.092,20.3800048828125
run_4_repetition_49,DONE,Claude,BFA,1552.0,1072.0,1344.0,2194.0,96.49,0.37,2.75,0.46,25127051264.0,684510426.03,4294963200.0,0.0,113776558.731,11931215.744,43096408.005,432.655,20.370518922805786
run_5_repetition_49,DONE,Claude,SWA,2400.0,2400.0,2400.0,400.0,0.88,98.52,0.33,0.28,25127051264.0,1808650138.64,4294963200.0,0.0,78888129.368,8401596.897,29916257.744,299.934,14.200586080551147
run_6_repetition_49,DONE,Gemeni,BB,2400.0,2399.0,2400.0,400.0,9.09,9.09,12.12,12.12,25127051264.0,689389568.0,4294963200.0,0.0,344542.224,37103.205,130714.575,1.31,0.3837578296661377
run_7_repetition_49,DONE,Gemeni,BFA,2292.0,2397.0,400.0,400.0,98.93,0.59,0.17,0.67,25127051264.0,694559228.17,4294963200.0,0.0,107398972.074,11706855.564,40772654.635,408.206,19.213412046432495
run_8_repetition_49,DONE,Gemeni,SWA,2237.0,2162.0,2358.0,1260.0,96.28,0.5,2.0,0.99,25127051264.0,1118176732.96,4294963200.0,0.0,52042567.699,5752151.012,19777256.698,197.773,9.50117301940918
run_0_repetition_50,DONE,ChatGPT,BB,2246.0,2397.0,1192.0,1603.0,0.55,38.49,0.25,60.9,25127051264.0,980861691.87,4294963200.0,0.0,113984265.001,12773174.6,43360195.856,433.152,20.353100538253784
run_1_repetition_50,DONE,ChatGPT,BFA,400.0,2397.0,2306.0,799.0,0.79,67.83,0.45,31.31,25127051264.0,684343933.94,4294963200.0,0.0,106994241.76,12179477.622,40759166.909,406.517,19.11369514465332
run_2_repetition_50,DONE,ChatGPT,SWA,2289.0,2207.0,400.0,1450.0,0.37,87.28,0.67,11.62,25127051264.0,1886252210.2,4294963200.0,0.0,88506946.532,10222809.393,33758609.841,336.217,15.896318435668945
run_3_repetition_50,DONE,Claude,BB,2399.0,2400.0,400.0,2400.0,0.44,43.18,0.4,55.92,25127051264.0,1144288897.68,4294963200.0,0.0,113929812.373,13351804.517,43510893.761,432.814,20.35421633720398
